id,title,reviews
30980,Последняя капля,"[['165584', '8.0'], ['165585', '8.7'], ['141831', '8.3']]"
30509,Noor,"[['181619', '9.7'], ['134739', '1.0'], ['121876', '6.3'], ['101792', '8.3'], ['86723', '10'], ['86672', '8.0'], ['86598', '8.3']]"
30661,Martinez,"[['86674', '8.0'], ['86727', '9.3'], ['86603', '9.0']]"
31307,Ландринъ,"[['148692', '10'], ['149724', '10'], ['120143', '8.0'], ['148166', '10']]"
45146,Bon Club,"[['188291', '10'], ['187510', '10'], ['187412', '10'], ['187269', '9.7'], ['187255', '10'], ['187239', '10'], ['187098', '10'], ['186979', '10'], ['186643', '10'], ['186443', '10'], ['186243', '10'], ['186115', '10'], ['185760', '10'], ['185549', '10'], ['185193', '10'], ['184729', '10'], ['184454', '10'], ['184193', '10'], ['184101', '10'], ['183858', '10'], ['183701', '10'], ['183515', '10'], ['183443', '10'], ['183342', '10'], ['183181', '10'], ['182844', '10'], ['182554', '10'], ['182274', '10'], ['179517', '10'], ['179394', '10']]"
33971,One More Pub,"[['86757', '9.7'], ['86574', '9.3'], ['86614', '8.0']]"
31593,Ёрш,"[['201817', '10'], ['196968', '10'], ['196347', '10'], ['189522', '10'], ['185414', '1.0'], ['180144', '10'], ['171399', '10'], ['161012', '10'], ['155872', '10'], ['155421', '10']]"
44902,Eleven Meathouse,"[['200381', '9.7'], ['194454', '10'], ['194361', '10'], ['194360', '10'], ['194015', '10'], ['193869', '10'], ['192866', '9.3'], ['192864', '10'], ['192856', '10']]"
32029,Янис,"[['89294', '9.0']]"
43819,Mason St.One,"[['170830', '10'], ['168514', '9.7'], ['169828', '10'], ['110697', '10']]"
34076,Шах-Даг,"[['167908', '10']]"
46571,Vabene,"[['185103', '10'], ['184750', '10'], ['179527', '10']]"
40937,Black Swan,"[['193201', '10'], ['185097', '9.0'], ['134123', '7.7']]"
32883,Зимний сад,"[['108646', '9.7'], ['105089', '8.7'], ['95946', '5.3'], ['92185', '10'], ['89673', '10'], ['89711', '10'], ['88253', '10']]"
44115,Brasserie Lambic,"[['192117', '10'], ['174323', '10'], ['175333', '10'], ['175075', '10'], ['174867', '10'], ['174772', '10'], ['174662', '10'], ['158332', '9.7'], ['174400', '10'], ['169436', '10'], ['169338', '10'], ['169228', '10'], ['168116', '10'], ['168098', '10'], ['168043', '10'], ['167958', '9.7'], ['165287', '10'], ['164075', '9.7'], ['163103', '10'], ['161572', '10'], ['161516', '10'], ['161068', '10'], ['160465', '10'], ['160218', '10'], ['160080', '10'], ['159129', '10'], ['135094', '10']]"
31440,Ян Примус,"[['198715', '10'], ['186184', '10'], ['185349', '10'], ['183900', '9.7'], ['182674', '10'], ['182575', '9.3'], ['182374', '8.7'], ['98934', '1.0']]"
31055,Царская охота,"[['86739', '9.3'], ['86678', '8.7'], ['86496', '9.0'], ['84423', '8.0'], ['86604', '8.7']]"
47995,Мята Cyber АлтуShка,"[['200978', '10'], ['192602', '9.7'], ['138677', '10']]"
44672,LaLaLand,"[['199575', '7.5'], ['189989', '9.7'], ['183408', '10'], ['170721', '10'], ['170328', '10'], ['170067', '10'], ['169580', '10'], ['169412', '10'], ['169035', '10'], ['169034', '10'], ['111952', '10']]"
47005,Disput,"[['191356', '9.7'], ['190131', '10'], ['189899', '10'], ['189592', '9.0'], ['188840', '9.3']]"
45646,Аляска,"[['187866', '10'], ['178911', '10'], ['178294', '10'], ['177642', '9.3']]"
46494,Мята Lounge,"[['183672', '10'], ['183664', '9.7'], ['183665', '9.7'], ['183662', '10'], ['137225', '10']]"
42610,Магадан на Красном Октябре,"[['188849', '10'], ['187754', '10'], ['187915', '10']]"
42443,Billy McDaniel,"[['192635', '10'], ['192471', '10'], ['192470', '10'], ['192468', '10'], ['192467', '9.5'], ['186620', '1.0']]"
46906,Замес,"[['183824', '10'], ['188622', '10'], ['187155', '9.7'], ['186538', '10'], ['184783', '10'], ['184770', '10'], ['183869', '10'], ['183341', '9.0'], ['183056', '10']]"
30651,Уголек,"[['191952', '10'], ['169991', '10'], ['143466', '1.0'], ['114229', '8.0'], ['113915', '9.0'], ['114194', '9.3'], ['19275', '9.0'], ['85767', '9.3']]"
46680,Happy,"[['201144', '1.0'], ['200012', '9.0'], ['196341', '9.3'], ['196323', '9.0'], ['194681', '9.3'], ['193235', '10'], ['192936', '9.3'], ['191553', '9.3'], ['185604', '9.5'], ['188752', '10']]"
31252,Марио,"[['201450', '10'], ['192883', '10'], ['191944', '10'], ['180879', '10'], ['117236', '8.3'], ['117193', '9.0'], ['117038', '9.7'], ['100850', '9.7'], ['92481', '10']]"
46335,Single Moscow,"[['190973', '10'], ['190358', '10']]"
43286,Brb,"[['148915', '10'], ['148406', '10'], ['147935', '10'], ['147917', '10']]"
30862,Узбекистан,"[['183706', '10'], ['139209', '9.3'], ['137964', '10'], ['97795', '10'], ['86372', '9.7'], ['86676', '9.7'], ['86293', '9.0'], ['84178', '9.0']]"
30567,Modus Restaurant,"[['193616', '3.7'], ['192647', '7.7'], ['155514', '2.7'], ['151575', '9.3'], ['114535', '8.3'], ['114481', '7.3'], ['101759', '8.7'], ['89390', '10'], ['84955', '9.3']]"
37762,Penthouse Men’s Club,"[['161912', '10'], ['160615', '10']]"
48578,Redbox,"[['201121', '1.0'], ['201000', '4.7'], ['200901', '5.0']]"
45639,Beerside,"[['176205', '10'], ['175773', '9.7'], ['175316', '10'], ['174459', '10'], ['173226', '9.7'], ['172508', '9.7'], ['172440', '10'], ['172442', '9.0']]"
43359,Тбилиси,"[['172042', '10'], ['171608', '10']]"
30816,15 Kitchen + Bar,"[['190765', '9.3'], ['99467', '9.7'], ['91474', '9.3']]"
31709,Султан,"[['199596', '10'], ['188243', '10'], ['180879', '10'], ['170013', '10'], ['142588', '10'], ['134935', '10'], ['115539', '9.3'], ['108018', '9.7'], ['106479', '10'], ['105658', '9.3'], ['104263', '9.7'], ['103057', '9.3'], ['100846', '7.7'], ['92499', '7.7']]"
44007,Мост,"[['192353', '9.0'], ['192351', '10'], ['189745', '10']]"
31324,Beverly Hills Diner,"[['199688', '5.0'], ['192504', '1.3'], ['173971', '5.7'], ['173498', '7.3'], ['172988', '10'], ['170928', '10'], ['140762', '10'], ['150553', '10'], ['172209', '10'], ['161389', '10'], ['158079', '10'], ['163527', '10'], ['110460', '10'], ['169333', '9.3'], ['167371', '10'], ['168794', '10'], ['167770', '10'], ['167685', '10'], ['167371', '10'], ['167369', '10'], ['166955', '10'], ['166656', '10'], ['165962', '10'], ['165591', '10'], ['165205', '10'], ['157927', '10'], ['165280', '10'], ['165210', '10'], ['163848', '10'], ['144201', '10'], ['162547', '10'], ['162306', '10'], ['162305', '10'], ['152449', '10'], ['161389', '10'], ['160922', '8.7'], ['160459', '9.3'], ['157772', '9.7'], ['158079', '10'], ['110460', '10'], ['157575', '9.7'], ['156433', '10'], ['154456', '10'], ['154609', '10'], ['155947', '10'], ['155564', '10'], ['155546', '10'], ['154746', '10'], ['154588', '9.5'], ['154199', '10'], ['152749', '10'], ['152895', '8.5'], ['150395', '10'], ['151410', '10'], ['150553', '10'], ['150460', '10'], ['150243', '10'], ['150212', '10'], ['150013', '10'], ['149748', '10'], ['149639', '5.0'], ['147376', '10'], ['148293', '10'], ['147161', '10'], ['143808', '9.3'], ['145953', '9.7'], ['142737', '10'], ['144199', '10'], ['145034', '10'], ['144634', '10'], ['144627', '10'], ['103735', '10'], ['143759', '9.7'], ['138212', '10'], ['141539', '10'], ['141736', '10'], ['141501', '10'], ['141485', '10'], ['141122', '10'], ['137052', '10'], ['110384', '10'], ['139458', '9.3'], ['139349', '10'], ['138751', '9.7'], ['138423', '9.5'], ['137994', '10'], ['137275', '10'], ['135734', '10'], ['135732', '10'], ['135602', '10'], ['134744', '10'], ['134714', '10'], ['79842', '10'], ['133943', '10'], ['133592', '10'], ['124478', '10'], ['123642', '10'], ['119647', '9.7'], ['122685', '10'], ['122204', '10'], ['121399', '10'], ['121314', '10'], ['120147', '10'], ['119647', '10'], ['118773', '10'], ['117090', '8.0'], ['117007', '9.7'], ['116129', '10'], ['114942', '10'], ['114429', '10'], ['114041', '10'], ['113177', '10'], ['109907', '10'], ['112646', '10'], ['112178', '10'], ['112005', '10'], ['110460', '10']]"
46489,М2 Organic Club,"[['196638', '10'], ['193020', '10'], ['192674', '10'], ['192672', '9.7']]"
31072,Tap & Barrel Pub,"[['189883', '9.3'], ['176172', '8.7'], ['165582', '8.0'], ['86738', '8.0'], ['86720', '10'], ['86384', '9.7'], ['85796', '9.3']]"
38282,Причал,"[['173543', '10'], ['112729', '7.3'], ['114141', '9.0'], ['101894', '7.3'], ['101765', '9.0'], ['101757', '7.3'], ['114206', '8.3']]"
47146,Lila Pastry,"[['188634', '10']]"
48224,Il Патио,"[['200161', '10'], ['200156', '10'], ['200144', '10']]"
46888,Дубрава,"[['183899', '10'], ['174786', '10'], ['183089', '9.7']]"
40086,Nebo Lounge&Bar,"[['191878', '10'], ['182534', '10'], ['177864', '7.7'], ['177286', '6.0'], ['171874', '8.0'], ['171351', '9.0']]"
37760,Virgins,"[['202151', '10'], ['202016', '10'], ['201703', '10'], ['200555', '10'], ['197996', '10'], ['200670', '10'], ['200660', '10'], ['200268', '10'], ['199447', '10'], ['198752', '10'], ['196889', '10'], ['196367', '10'], ['191077', '10'], ['191750', '10'], ['191707', '10'], ['191120', '10'], ['191015', '10'], ['190144', '10'], ['107221', '10'], ['118139', '9.3'], ['136897', '10']]"
46956,Timeless Охотный Ряд,"[['199830', '10'], ['199414', '9.0'], ['197279', '10'], ['197082', '9.0'], ['195515', '10'], ['195099', '10'], ['114074', '10'], ['108757', '10'], ['189606', '9.3'], ['189530', '7.3'], ['187382', '10'], ['184674', '9.7'], ['184673', '10'], ['184181', '9.7'], ['184005', '10']]"
