id,restaurant_name,original_location,country,region,province,city,meals,cuisines,special_diets,features,avg_rating,total_reviews_count
0,The Oystercatcher,"[""Europe"", ""France"", ""Brittany"", ""Ille-et-Vilaine"", ""Saint Marcan""]",France,Brittany,Ille-et-Vilaine,Saint Marcan,Dinner,"Bar, British, Pub",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Free off-street parking, Television, Serves Alcohol, Full Bar, Wine and Beer, Table Service",5.0,115.0
1,La Grand’Vigne,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Gironde"", ""Martillac""]",France,Nouvelle-Aquitaine,Gironde,Martillac,"Lunch, Dinner","French, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",4.5,494.0
2,Au Bon Accueil,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Dordogne"", ""Limeuil""]",France,Nouvelle-Aquitaine,Dordogne,Limeuil,"Lunch, Dinner","French, European",Vegetarian Friendly,"Outdoor Seating, Seating, Parking Available, Street Parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Reservations, Accepts Credit Cards, Table Service",4.5,651.0
3,Restaurant Cote Place,"[""Europe"", ""France"", ""Corsica"", ""Corse-du-Sud"", ""Ota"", ""Porto""]",France,Corsica,Corse-du-Sud,Porto,"Breakfast, Dinner, After-hours, Drinks","Seafood, French, Bar, Mediterranean, European",Vegetarian Friendly,"Delivery, Validated Parking, Reservations, Outdoor Seating, Seating, Free off-street parking, Television, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Accepts Credit Cards, Table Service, Wheelchair Accessible, Free Wifi",4.5,749.0
4,Le 2134 Les Arcs,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Savoie"", ""Bourg Saint Maurice"", ""Les Arcs""]",France,Auvergne-Rhone-Alpes,Savoie,Les Arcs,"Lunch, Dinner","French, European","Vegetarian Friendly, Vegan Options","Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",4.5,216.0
5,Chalet Grillette,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Savoie"", ""Bourg Saint Maurice"", ""Les Arcs""]",France,Auvergne-Rhone-Alpes,Savoie,Les Arcs,Lunch,"French, European",Vegetarian Friendly,"Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Mastercard, Accepts Visa, Digital Payments, Reservations, Highchairs Available, Full Bar, Accepts Credit Cards, Table Service",4.5,382.0
6,Le Bistro Fleuri,"[""Europe"", ""France"", ""Normandy"", ""Basse-Normandie"", ""Calvados"", ""Deauville"", ""Villerville""]",France,Normandy,Basse-Normandie,Villerville,"Lunch, Dinner","International, Wine Bar, French, European, British",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Table Service, Takeout, Parking Available, Free Wifi",4.5,181.0
7,Vapiano Disney Village,"[""Europe"", ""France"", ""Ile-de-France"", ""Seine-et-Marne"", ""Marne-la-Vallee"", ""Chessy""]",France,Ile-de-France,Seine-et-Marne,Chessy,"Lunch, Dinner, After-hours, Drinks","French, Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Wine and Beer",3.5,1196.0
8,Puycelsi Roc Cafe,"[""Europe"", ""France"", ""Occitanie"", ""Tarn"", ""Puycelci""]",France,Occitanie,Tarn,Puycelci,"Lunch, Dinner, Brunch","French, Cafe, European, Grill","Vegetarian Friendly, Vegan Options","Wheelchair Accessible, Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Accepts Credit Cards, Table Service, Parking Available, Free Wifi",4.0,288.0
9,Le Blanc Nez,"[""Europe"", ""France"", ""Hauts-de-France"", ""Pas-de-Calais"", ""Sangatte""]",France,Hauts-de-France,Pas-de-Calais,Sangatte,"Lunch, Dinner, After-hours","French, Seafood, European","Vegetarian Friendly, Gluten Free Options","Serves Alcohol, Full Bar, Reservations, Seating, Street Parking, Highchairs Available, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service",4.5,446.0
10,The Stone Bar,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Haute-Savoie"", ""Chamonix"", ""Argentiere""]",France,Auvergne-Rhone-Alpes,Haute-Savoie,Argentiere,"Lunch, Dinner, After-hours, Drinks","Bar, Pizza, Italian","Vegetarian Friendly, Vegan Options","Takeout, Reservations, Outdoor Seating, Seating, Television, Highchairs Available, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",4.0,168.0
11,L'Auberge du Vieux Château,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""French Riviera - Cote d'Azur"", ""Grasse"", ""Cabris""]",France,Provence-Alpes-Cote d'Azur,French Riviera - Cote d'Azur,Cabris,"Lunch, Dinner","French, Mediterranean, European","Vegetarian Friendly, Vegan Options","Seating, Parking Available, Street Parking, Validated Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining, Accepts Credit Cards, Table Service",4.5,660.0
12,Rajpoute,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Ain"", ""Ornex""]",France,Auvergne-Rhone-Alpes,Ain,Ornex,"Lunch, Dinner, After-hours","Indian, Pakistani","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",4.5,563.0
13,La Toscane,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Charente"", ""Montbron""]",France,Nouvelle-Aquitaine,Charente,Montbron,"Lunch, Dinner","Italian, Pizza, Mediterranean, European","Vegetarian Friendly, Gluten Free Options","Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Table Service",4.0,137.0
14,Le Moulin de Varen,"[""Europe"", ""France"", ""Occitanie"", ""Tarn-et-Garonne"", ""Saint-Antonin Noble Val"", ""Varen""]",France,Occitanie,Tarn-et-Garonne,Varen,"Lunch, Dinner, Drinks",French,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Parking Available, Highchairs Available, Full Bar, Reservations, Outdoor Seating, Seating, Street Parking, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service, Free Wifi",4.5,315.0
15,Le Doyenné Café-Lounge,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Dordogne"", ""Issigeac""]",France,Nouvelle-Aquitaine,Dordogne,Issigeac,"Lunch, Brunch, Dinner, Drinks","French, Cafe, International, Mediterranean, European","Vegetarian Friendly, Vegan Options","Reservations, Outdoor Seating, Seating, Serves Alcohol, Accepts Credit Cards, Table Service",4.5,41.0
16,La Carte Timbree,"[""Europe"", ""France"", ""Occitanie"", ""Herault"", ""Thezan-Les-Beziers""]",France,Occitanie,Herault,Thezan-Les-Beziers,"Lunch, Dinner","French, Mediterranean","Vegetarian Friendly, Vegan Options","Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",4.5,130.0
17,Les Bateliers,"[""Europe"", ""France"", ""Grand Est"", ""Haut-Rhin"", ""Colmar""]",France,Grand Est,Haut-Rhin,Colmar,"Lunch, Dinner","French, European, Healthy",Vegetarian Friendly,"Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",4.5,288.0
18,La Pignata,"[""Europe"", ""France"", ""Grand Est"", ""Haut-Rhin"", ""Colmar""]",France,Grand Est,Haut-Rhin,Colmar,"Lunch, Dinner","Italian, Pizza, Mediterranean, European","Vegetarian Friendly, Vegan Options","Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",4.5,401.0
19,La corde a linge,"[""Europe"", ""France"", ""Grand Est"", ""Bas-Rhin"", ""Strasbourg""]",France,Grand Est,Bas-Rhin,Strasbourg,"Lunch, Dinner, Brunch, After-hours","French, Bar, European","Vegetarian Friendly, Vegan Options","Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Waterfront",4.0,3668.0
20,Au Brasseur,"[""Europe"", ""France"", ""Grand Est"", ""Bas-Rhin"", ""Strasbourg""]",France,Grand Est,Bas-Rhin,Strasbourg,"Lunch, Dinner, After-hours, Drinks","French, Bar, European",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",3.5,1174.0
21,Gavroche,"[""Europe"", ""France"", ""Grand Est"", ""Bas-Rhin"", ""Strasbourg""]",France,Grand Est,Bas-Rhin,Strasbourg,"Lunch, Dinner","French, Contemporary",Vegetarian Friendly,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",4.5,615.0
22,Atelier des Faures,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Gironde"", ""Bordeaux""]",France,Nouvelle-Aquitaine,Gironde,Bordeaux,"Lunch, Dinner","French, European, Fusion, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Seating, Serves Alcohol, Accepts Credit Cards, Table Service",5.0,325.0
23,Pizzeria Filippo,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Gironde"", ""Bordeaux""]",France,Nouvelle-Aquitaine,Gironde,Bordeaux,"Lunch, Dinner, After-hours, Drinks","Italian, French, Pizza, European","Vegetarian Friendly, Vegan Options","Takeout, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Digital Payments, Accepts Credit Cards, Table Service, Free Wifi",5.0,261.0
24,Le Pressoir d’Argent Gordon Ramsay,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Gironde"", ""Bordeaux""]",France,Nouvelle-Aquitaine,Gironde,Bordeaux,Dinner,"French, European, Healthy, International","Vegetarian Friendly, Vegan Options, Gluten Free Options","Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining, Seating, Accepts Credit Cards, Table Service",4.5,610.0
25,La Taniere,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Gironde"", ""Bordeaux""]",France,Nouvelle-Aquitaine,Gironde,Bordeaux,"Lunch, Dinner","French, Bar, European",Vegetarian Friendly,"Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",4.5,345.0
26,Le Chien de Pavlov,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Gironde"", ""Bordeaux""]",France,Nouvelle-Aquitaine,Gironde,Bordeaux,"Lunch, Dinner, Drinks, After-hours","French, European, Healthy, Contemporary, Gastropub","Vegetarian Friendly, Gluten Free Options","Private Dining, Highchairs Available, Free Wifi, Gift Cards Available, Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts Credit Cards, Table Service",4.5,802.0
27,Padang Padang,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Gironde"", ""Bordeaux""]",France,Nouvelle-Aquitaine,Gironde,Bordeaux,"Lunch, Dinner, After-hours, Drinks","Asian, Thai, Vietnamese, Indonesian","Vegetarian Friendly, Vegan Options","Delivery, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Takeout, Reservations, Accepts Credit Cards, Table Service",4.0,403.0
28,Le Surfing,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Pyrenees-Atlantiques"", ""Basque Country"", ""Biarritz""]",France,Nouvelle-Aquitaine,Pyrenees-Atlantiques,Biarritz,"Breakfast, Lunch, Dinner","Gastropub, French, Bar, European","Vegetarian Friendly, Vegan Options","Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Accepts Credit Cards, Table Service",4.0,1395.0
29,Le Ble Noir,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Pyrenees-Atlantiques"", ""Basque Country"", ""Biarritz""]",France,Nouvelle-Aquitaine,Pyrenees-Atlantiques,Biarritz,"After-hours, Lunch, Dinner, Drinks","French, European","Vegetarian Friendly, Vegan Options","Wheelchair Accessible, Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service",4.0,672.0
30,Jardin de Kashmir Bergerac,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Dordogne"", ""Bergerac"", ""Bergerac City""]",France,Nouvelle-Aquitaine,Dordogne,Bergerac City,"Lunch, Dinner, After-hours","Indian, Pakistani","Vegetarian Friendly, Vegan Options","Reservations, Seating, Serves Alcohol, Table Service",4.5,180.0
31,La Lycorne,"[""Europe"", ""France"", ""Brittany"", ""Cotes-d'Armor"", ""Dinan""]",France,Brittany,Cotes-d'Armor,Dinan,"Lunch, Dinner, After-hours","French, European",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",4.5,962.0
32,La Taverne de la Marine,"[""Europe"", ""France"", ""Brittany"", ""Ille-et-Vilaine"", ""Rennes""]",France,Brittany,Ille-et-Vilaine,Rennes,"Lunch, Dinner, After-hours","French, Seafood, Healthy","Vegetarian Friendly, Gluten Free Options","Reservations, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",4.0,1332.0
33,Le Bistro des Cocottes,"[""Europe"", ""France"", ""Bourgogne-Franche-Comte"", ""Cote d'Or"", ""Beaune""]",France,Bourgogne-Franche-Comte,Cote d'Or,Beaune,"Lunch, Dinner, After-hours, Drinks","French, European",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",4.5,491.0
34,La Lune,"[""Europe"", ""France"", ""Bourgogne-Franche-Comte"", ""Cote d'Or"", ""Beaune""]",France,Bourgogne-Franche-Comte,Cote d'Or,Beaune,"Dinner, After-hours","French, Japanese, Asian, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Seating, Serves Alcohol, Accepts Credit Cards, Table Service",5.0,579.0
35,La Licorne,"[""Europe"", ""France"", ""Bourgogne-Franche-Comte"", ""Cote d'Or"", ""Dijon""]",France,Bourgogne-Franche-Comte,Cote d'Or,Dijon,"Lunch, Dinner, Drinks",French,Vegetarian Friendly,"Takeout, Reservations, Outdoor Seating, Seating, Serves Alcohol, Table Service",4.5,96.0
36,L'Epicerie,"[""Europe"", ""France"", ""Centre-Val de Loire"", ""Indre-et-Loire"", ""Amboise""]",France,Centre-Val de Loire,Indre-et-Loire,Amboise,"Lunch, Dinner, After-hours","French, European",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",4.0,1017.0
37,Le Parvis,"[""Europe"", ""France"", ""Centre-Val de Loire"", ""Indre-et-Loire"", ""Amboise""]",France,Centre-Val de Loire,Indre-et-Loire,Amboise,"Lunch, Dinner","French, Barbecue, European, Healthy, International",Vegetarian Friendly,"Highchairs Available, Reservations, Outdoor Seating, Seating, Serves Alcohol, Accepts Mastercard, Accepts Visa, Digital Payments, Accepts Credit Cards, Table Service",4.5,805.0
38,Via Roma,"[""Europe"", ""France"", ""Centre-Val de Loire"", ""Indre-et-Loire"", ""Amboise""]",France,Centre-Val de Loire,Indre-et-Loire,Amboise,"Lunch, Dinner","Italian, Pizza, European",Vegetarian Friendly,"Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service",3.5,672.0
39,Chez Bruno,"[""Europe"", ""France"", ""Centre-Val de Loire"", ""Indre-et-Loire"", ""Amboise""]",France,Centre-Val de Loire,Indre-et-Loire,Amboise,"Lunch, Dinner, After-hours","French, European, Healthy",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",4.5,1461.0
40,Les Feuillantines,"[""Europe"", ""France"", ""Centre-Val de Loire"", ""Eure-et-Loir"", ""Chartres""]",France,Centre-Val de Loire,Eure-et-Loir,Chartres,"Lunch, Dinner","French, European",Vegetarian Friendly,"Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Reservations, Private Dining, Serves Alcohol, Accepts Credit Cards, Table Service",4.5,698.0
41,La Maison Rouge,"[""Europe"", ""France"", ""Centre-Val de Loire"", ""Indre-et-Loire"", ""Chinon""]",France,Centre-Val de Loire,Indre-et-Loire,Chinon,"Lunch, Dinner","French, European",Vegetarian Friendly,"Outdoor Seating, Seating, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Reservations, Highchairs Available, Serves Alcohol, Accepts Credit Cards, Table Service",4.0,271.0
42,Irish Company,"[""Europe"", ""France"", ""Centre-Val de Loire"", ""Indre-et-Loire"", ""Tours""]",France,Centre-Val de Loire,Indre-et-Loire,Tours,"Lunch, Dinner","Italian, French, Bar, European, Pub","Vegetarian Friendly, Vegan Options","Television, Wheelchair Accessible, Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Free Wifi",4.0,408.0
43,Heera Restaurant INDIAN,"[""Europe"", ""France"", ""Grand Est"", ""Marne"", ""Epernay""]",France,Grand Est,Marne,Epernay,"Lunch, Dinner, After-hours, Drinks","Indian, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Delivery, Takeout, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service, Street Parking, Digital Payments",4.5,73.0
44,La Banque,"[""Europe"", ""France"", ""Grand Est"", ""Marne"", ""Epernay""]",France,Grand Est,Marne,Epernay,"Lunch, Dinner, Brunch, After-hours, Drinks","French, European",Vegetarian Friendly,"Reservations, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",3.5,1632.0
45,Le Gaulois,"[""Europe"", ""France"", ""Grand Est"", ""Marne"", ""Reims""]",France,Grand Est,Marne,Reims,"Drinks, Lunch, Dinner, After-hours","French, Bar, European",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",3.5,1292.0
46,Le Millenaire,"[""Europe"", ""France"", ""Grand Est"", ""Marne"", ""Reims""]",France,Grand Est,Marne,Reims,"Lunch, Dinner","French, European, Healthy, Contemporary",Vegetarian Friendly,"Takeout, Seating, Wheelchair Accessible, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining, Accepts Credit Cards, Table Service",4.5,970.0
47,La Barge,"[""Europe"", ""France"", ""Grand Est"", ""Aube"", ""Troyes""]",France,Grand Est,Aube,Troyes,"Lunch, Dinner, After-hours","French, Bar, European, International",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",4.0,437.0
48,L' Ostal des Troubadours,"[""Europe"", ""France"", ""Occitanie"", ""Aude"", ""Carcassonne"", ""Carcassonne Center""]",France,Occitanie,Aude,Carcassonne Center,"Lunch, Dinner, After-hours",French,Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Serves Alcohol, Accepts Credit Cards, Table Service, Live Music",3.5,735.0
49,Le Saint Jean,"[""Europe"", ""France"", ""Occitanie"", ""Aude"", ""Carcassonne"", ""Carcassonne Center""]",France,Occitanie,Aude,Carcassonne Center,"Drinks, Lunch, Dinner, After-hours","French, Mediterranean, European, Healthy",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service",4.0,805.0
50,Restaurant Adelaide,"[""Europe"", ""France"", ""Occitanie"", ""Aude"", ""Carcassonne"", ""Carcassonne Center""]",France,Occitanie,Aude,Carcassonne Center,"Lunch, Dinner, After-hours","French, European, Healthy",Vegetarian Friendly,"Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",4.0,2351.0
51,Le Plo,"[""Europe"", ""France"", ""Occitanie"", ""Aude"", ""Carcassonne"", ""Carcassonne Center""]",France,Occitanie,Aude,Carcassonne Center,"Lunch, Dinner, After-hours","French, European, Healthy",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Accepts Credit Cards, Table Service",4.0,1313.0
52,Bar de la Marine,"[""Europe"", ""France"", ""Occitanie"", ""Pyrenees-Orientales"", ""Collioure""]",France,Occitanie,Pyrenees-Orientales,Collioure,"Lunch, Dinner, Drinks, Brunch","Seafood, French, Catalan",Vegetarian Friendly,"Outdoor Seating, Seating, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service",4.0,932.0
53,La Plage Aux Mouettes,"[""Europe"", ""France"", ""Occitanie"", ""Pyrenees-Orientales"", ""Collioure""]",France,Occitanie,Pyrenees-Orientales,Collioure,"Lunch, Dinner, After-hours","French, Mediterranean, European, Catalan",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",4.5,990.0
54,Chez Toto,"[""Europe"", ""France"", ""Occitanie"", ""Herault"", ""Montpellier""]",France,Occitanie,Herault,Montpellier,"Lunch, Dinner, After-hours","French, Mediterranean, Seafood",Gluten Free Options,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Table Service",3.5,146.0
55,Skab,"[""Europe"", ""France"", ""Occitanie"", ""Gard"", ""Nimes""]",France,Occitanie,Gard,Nimes,"Lunch, Dinner","French, Mediterranean, European, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Seating, Highchairs Available, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining, Serves Alcohol, Accepts Credit Cards, Table Service, Gift Cards Available",4.5,732.0
56,Le Figuier,"[""Europe"", ""France"", ""Occitanie"", ""Pyrenees-Orientales"", ""Perpignan""]",France,Occitanie,Pyrenees-Orientales,Perpignan,"Lunch, Dinner","French, Mediterranean, Spanish, Catalan","Vegetarian Friendly, Vegan Options","Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",4.5,571.0
57,Restaurant le Sud,"[""Europe"", ""France"", ""Occitanie"", ""Pyrenees-Orientales"", ""Perpignan""]",France,Occitanie,Pyrenees-Orientales,Perpignan,Dinner,"Mediterranean, French, European",Vegetarian Friendly,"Seating, Free off-street parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Reservations, Outdoor Seating, Accepts Credit Cards, Table Service",4.5,386.0
58,Casa Sansa,"[""Europe"", ""France"", ""Occitanie"", ""Pyrenees-Orientales"", ""Perpignan""]",France,Occitanie,Pyrenees-Orientales,Perpignan,"Lunch, Dinner, After-hours","French, Healthy, Catalan",Vegetarian Friendly,"Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",4.0,844.0
59,Le Vieux café d'ANIATHAZZE,"[""Europe"", ""France"", ""Occitanie"", ""Gard"", ""Uzes""]",France,Occitanie,Gard,Uzes,"Breakfast, Lunch, Dinner, After-hours","French, Bar, Cafe, European, Brew Pub, Contemporary",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service, Television, Wine and Beer",4.0,315.0
60,La Petite Graine,"[""Europe"", ""France"", ""Nouvelle-Aquitaine"", ""Haute-Vienne"", ""Limoges""]",France,Nouvelle-Aquitaine,Haute-Vienne,Limoges,"Breakfast, Lunch, Drinks",French,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Seating, Accepts Credit Cards, Table Service",4.5,66.0
61,Restaurant Lung TA,"[""Europe"", ""France"", ""Occitanie"", ""Hautes-Pyrenees"", ""Lourdes""]",France,Occitanie,Hautes-Pyrenees,Lourdes,"Lunch, Dinner, After-hours","Asian, Tibetan, Nepalese","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Reservations, Seating, Highchairs Available, Serves Alcohol, Accepts Credit Cards, Table Service",4.5,343.0
62,Le Bellini,"[""Europe"", ""France"", ""Occitanie"", ""Haute-Garonne"", ""Toulouse""]",France,Occitanie,Haute-Garonne,Toulouse,"Lunch, Dinner, Drinks","Italian, Pizza, European",Vegetarian Friendly,"Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",3.5,378.0
63,Cheema,"[""Europe"", ""France"", ""Occitanie"", ""Haute-Garonne"", ""Toulouse""]",France,Occitanie,Haute-Garonne,Toulouse,"Lunch, Dinner, After-hours","Indian, Middle Eastern, Pakistani",Vegetarian Friendly,"Reservations, Seating, Serves Alcohol, Accepts Credit Cards, Table Service, Takeout, Wheelchair Accessible",4.0,57.0
64,The Frog & Rosbif,"[""Europe"", ""France"", ""Occitanie"", ""Haute-Garonne"", ""Toulouse""]",France,Occitanie,Haute-Garonne,Toulouse,"Dinner, After-hours, Drinks","Bar, British, Pub, Brew Pub","Vegetarian Friendly, Vegan Options","Reservations, Television, Full Bar, Takeout, Seating, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Free Wifi, Accepts Credit Cards, Table Service, Live Music, Dog Friendly, Non-smoking restaurants, Sports bars",4.5,260.0
65,Le Bistrot des Carmes,"[""Europe"", ""France"", ""Occitanie"", ""Haute-Garonne"", ""Toulouse""]",France,Occitanie,Haute-Garonne,Toulouse,"Lunch, Dinner","French, Bar, European",Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",4.5,526.0
