id,title,reviews
42620,Ягненок,"[['144701', '1.0']]"
43962,IKEA,"[['194346', '7.0']]"
43574,Крафт будка,"[['138399', '10']]"
40235,Крафт-бар,"[['133310', '7.3']]"
42958,Cafe1862,"[['145451', '10']]"
39237,Кальянная 4:20,"[['117207', '10']]"
42951,I-tal Сorner,"[['144613', '9.7']]"
43765,Глазурь,"[['155940', '10']]"
38874,Главбуфет,"[['148962', '9.7']]"
46935,"Гамарджоба, генацвале!","[['197178', '2.7']]"
31582,Coffee Cherry,"[['96128', '10']]"
39685,Кофемания,"[['201671', '10']]"
40956,Kombinat Deli,"[['119543', '3.3'], ['115606', '10']]"
43235,Ковров,"[['150088', '9.3']]"
44271,Little Osaka,"[['192118', '1.0']]"
43586,Лира,"[['153074', '8.0'], ['153003', '10']]"
30700,Линдфорс,"[['171618', '1.7']]"
47228,Лепим и варим,"[['188172', '10']]"
41786,Ланч-кафе Гаражъ,"[['157889', '10']]"
45379,Лакомка,"[['188634', '5.3']]"
35528,Мой чай,"[['103208', '10'], ['103209', '9.7'], ['92496', '8.7']]"
40769,Mindike Coffee,"[['108213', '9.7']]"
35552,Mix точка,"[['102499', '10']]"
39571,Maximus,"[['181619', '9.0']]"
43869,Mac & Cheese,"[['194346', '6.3'], ['170416', '6.3']]"
32976,ОМ/Чайная студия,"[['89814', '9.0']]"
32744,Наш хлеб,"[['90697', '9.0']]"
45348,На углях,"[['196093', '10'], ['187942', '10']]"
38997,Мульто,"[['149628', '10']]"
40198,Пивной пилигрим,"[['110397', '10'], ['105057', '10'], ['103720', '10']]"
40330,Пивная библиотека,"[['121840', '1.0']]"
38421,Pivbar,"[['105714', '10']]"
42255,Первый нос,"[['162261', '8.7']]"
39534,Старый дворик,"[['145255', '2.3']]"
33811,Star Hit на Шаболовской,"[['172157', '1.0']]"
38807,Станция Савеловская,"[['134551', '10']]"
44034,Soul In The Bowl,"[['190430', '8.0']]"
38268,Ребро Адама,"[['99881', '5.3']]"
39842,Пшеница,"[['158694', '8.3']]"
44210,Pho & Go,"[['157802', '10']]"
38279,Профессор Пуф,"[['92724', '10']]"
34832,Прана,"[['137113', '9.0']]"
38019,Порто Миконос,"[['105407', '9.3']]"
40756,Port Blair Shisha & Lounge,"[['111195', '9.3']]"
41994,Пончики,"[['138283', '6.0']]"
35856,Сандал,"[['169458', '3.0']]"
45635,Роза ветров,"[['173858', '10']]"
43216,Франсуа,"[['147531', '9.0']]"
44336,Flora No Fauna,"[['163109', '10']]"
43226,Floo,"[['145538', '8.3']]"
39482,Шале,"[['144767', '9.3']]"
30583,Чито-Ра,"[['201878', '10'], ['85910', '9.7']]"
39008,Человек и пароход,"[['199407', '10']]"
33328,Чае,"[['92536', '8.3']]"
44798,Hookah Burger,"[['165500', '10']]"
41483,Хинкальная,"[['122593', '3.7']]"
46627,Ikigai,"[['193688', '10'], ['191042', '10'], ['188412', '8.7']]"
44166,Atelier de Tartelettes,"[['170416', '8.7']]"
37291,Domino's Pizza,"[['141831', '10']]"
38714,Bò,"[['149992', '10']]"
35635,Burger Club,"[['110965', '8.7']]"
42037,Палермо,"[['122410', '8.5'], ['122409', '8.0'], ['122408', '9.5'], ['122407', '9.0'], ['121984', '9.0']]"
31421,Obed Bufet,"[['170513', '8.3'], ['164245', '9.0'], ['153015', '9.3'], ['149046', '4.7'], ['148582', '10'], ['124426', '9.7'], ['122469', '9.0'], ['108805', '7.3'], ['104782', '10'], ['91619', '9.0'], ['86770', '7.0'], ['86694', '9.3'], ['86617', '8.0']]"
31122,Meating,"[['99094', '8.7'], ['97192', '9.0']]"
35061,Сущевский двор,"[['154670', '10'], ['154668', '10']]"
40727,Поварская лавка,"[['155528', '10'], ['111927', '10'], ['154762', '10'], ['136395', '10'], ['153818', '10'], ['153072', '10'], ['150069', '10'], ['149691', '10'], ['135611', '10'], ['147171', '10'], ['146444', '10'], ['139024', '10'], ['136224', '10'], ['138439', '10'], ['137950', '10'], ['137499', '10'], ['119483', '10'], ['119430', '10'], ['119013', '10'], ['118545', '10'], ['118383', '10'], ['118088', '10']]"
42572,ABC Coffee Roasters,"[['195277', '10'], ['150692', '9.0'], ['135544', '8.7'], ['122088', '8.3']]"
33916,Coffeeshop Company,"[['178231', '10'], ['158942', '9.7'], ['158892', '9.7']]"
33195,Му-му,"[['169860', '10'], ['167184', '10'], ['163077', '10']]"
33351,Варка,"[['140516', '8.7'], ['141543', '9.0'], ['86748', '9.3']]"
42263,Boroda,"[['158079', '10'], ['110384', '10'], ['171113', '2.0'], ['159552', '10'], ['110460', '10'], ['137994', '10'], ['154456', '10'], ['158697', '10'], ['79842', '10'], ['141784', '10'], ['142646', '10'], ['152688', '4.3'], ['151893', '9.3'], ['142646', '10'], ['141784', '10'], ['142243', '9.3'], ['79842', '10']]"
44669,Точка доступа,"[['193393', '1.0'], ['190529', '10'], ['187447', '9.7'], ['183277', '10'], ['177884', '9.3'], ['175261', '10'], ['172417', '9.3'], ['169585', '10'], ['169581', '10'], ['169492', '10'], ['169250', '10'], ['169190', '10'], ['169087', '10'], ['168906', '10'], ['168787', '10'], ['168719', '9.7'], ['168352', '10'], ['168338', '10'], ['168022', '10'], ['167990', '10'], ['167802', '10'], ['167563', '10'], ['166218', '9.7'], ['165653', '9.0'], ['165293', '9.3'], ['164770', '9.3'], ['164620', '9.7'], ['164581', '10'], ['164554', '9.7'], ['164271', '10'], ['164132', '9.7'], ['163246', '10']]"
46068,Империя пиццы и суши,"[['193211', '10'], ['180989', '9.0'], ['179772', '10'], ['179706', '10'], ['178741', '10'], ['177704', '9.7'], ['174837', '8.7']]"
42881,Журавли,"[['138677', '5.3'], ['188899', '9.3'], ['184100', '10'], ['177913', '10'], ['176783', '10'], ['162721', '10'], ['150404', '9.3']]"
44209,Токио Рамен,"[['170607', '10'], ['161269', '10']]"
38876,Lights Cafe,"[['190042', '10'], ['175324', '9.0'], ['160260', '6.7'], ['155292', '10'], ['152474', '10'], ['149783', '10'], ['149227', '10'], ['146254', '8.7']]"
30960,Starbucks,"[['189647', '9.7'], ['172058', '8.0'], ['150025', '6.7'], ['122355', '8.0'], ['121158', '7.7'], ['122287', '8.3'], ['122352', '8.0'], ['119835', '8.0']]"
37862,Parka,"[['136274', '9.3'], ['141543', '9.0']]"
33360,Хлеб и вино,"[['196822', '10'], ['194497', '10'], ['195686', '10'], ['185425', '10'], ['190312', '9.0'], ['185425', '9.7'], ['184949', '8.7'], ['184751', '9.0'], ['184489', '9.3'], ['183609', '10'], ['183500', '10']]"
45286,11/1,"[['174780', '10'], ['174597', '10']]"
46430,Крепкое & Хмельное,"[['179099', '9.0'], ['175469', '10'], ['178667', '10'], ['178432', '10'], ['177657', '10'], ['177848', '10'], ['177750', '10'], ['177635', '10']]"
48142,Raf & Gotovo,"[['197745', '10'], ['197311', '10']]"
38661,Хищnik Cтейкs & Burgers,"[['191050', '10'], ['190238', '7.0'], ['183860', '8.7'], ['183685', '7.5'], ['169953', '8.0'], ['158879', '10'], ['107629', '9.3'], ['104778', '10'], ['100357', '10'], ['102871', '10'], ['103736', '10'], ['103735', '9.7'], ['103281', '10'], ['92995', '10'], ['102945', '9.7'], ['99134', '10'], ['100857', '10'], ['95607', '10'], ['100187', '9.3'], ['96783', '8.0'], ['96782', '10']]"
43082,Kult,"[['200707', '10'], ['187932', '10'], ['187413', '9.3'], ['183646', '6.0'], ['183223', '10'], ['183191', '9.0'], ['183190', '10'], ['183083', '10'], ['183055', '9.3'], ['183054', '10'], ['183051', '10'], ['182893', '10'], ['182872', '10'], ['181571', '10'], ['181568', '10'], ['154349', '9.7'], ['148733', '10'], ['144559', '9.3']]"
