id,title,reviews
31034,Белое солнце пустыни,"[['197351', '5.7'], ['166055', '8.7'], ['161262', '7.7'], ['160838', '7.0'], ['158775', '8.0'], ['158774', '8.3'], ['158776', '9.0'], ['158773', '8.7'], ['158772', '8.3'], ['158771', '9.3'], ['153199', '9.0'], ['153541', '9.0'], ['152489', '9.3'], ['152488', '8.7'], ['151263', '8.3'], ['149273', '9.0'], ['149275', '8.7'], ['112729', '9.0'], ['87856', '9.7'], ['114481', '7.3'], ['117755', '7.7'], ['86360', '9.7'], ['86676', '8.7'], ['86377', '9.3']]"
35990,Русская трапеза,"[['148656', '9.0'], ['148328', '8.7'], ['148183', '10'], ['148178', '10'], ['148168', '10'], ['148013', '10'], ['147808', '10'], ['143557', '4.3']]"
33246,Hite,"[['101759', '8.0'], ['114461', '8.7'], ['117757', '8.3'], ['116087', '8.0'], ['117060', '8.3']]"
31690,Tatler,"[['143114', '8.3'], ['142313', '8.0'], ['140941', '8.0'], ['85340', '10'], ['89390', '8.7'], ['84420', '8.3']]"
31552,Accenti,"[['90910', '10'], ['86617', '8.7']]"
30501,AQ Kitchen,"[['161819', '3.0'], ['9141', '9.0'], ['89699', '9.0'], ['89824', '9.3']]"
30751,Академия,"[['122360', '7.7'], ['121778', '8.0'], ['121420', '8.7'], ['122194', '8.3'], ['121982', '8.3']]"
34658,Хинкальный дом Арго,"[['147931', '10'], ['139226', '10'], ['99128', '9.0'], ['92482', '8.0']]"
31464,Твин пигз,"[['89747', '9.3'], ['89269', '9.0']]"
30729,Shore House,"[['196289', '9.7'], ['165923', '8.7'], ['154706', '9.0'], ['113952', '9.3'], ['86741', '9.0'], ['86645', '10'], ['86674', '8.3'], ['84259', '9.3']]"
32198,Наполеон,"[['174977', '10'], ['164041', '10'], ['121416', '9.0'], ['122088', '9.3'], ['121983', '9.0'], ['121984', '9.0'], ['89183', '8.7']]"
37824,Метрополь,"[['169435', '9.7'], ['119793', '8.0'], ['119772', '8.3'], ['119651', '7.3'], ['110855', '1.0'], ['92499', '10']]"
