id_restourant,title,id_users,rating
42620,Ягненок,144701,1.0
43962,IKEA,194346,7.0
43574,Крафт будка,138399,10.0
40235,Крафт-бар,133310,7.3
42958,Cafe1862,145451,10.0
39237,Кальянная 4:20,117207,10.0
42951,I-tal Сorner,144613,9.7
43765,Глазурь,155940,10.0
38874,Главбуфет,148962,9.7
46935,"Гамарджоба, генацвале!",197178,2.7
31582,Coffee Cherry,96128,10.0
39685,Кофемания,201671,10.0
40956,Kombinat Deli,119543,3.3
40956,Kombinat Deli,115606,10.0
43235,Ковров,150088,9.3
44271,Little Osaka,192118,1.0
43586,Лира,153074,8.0
43586,Лира,153003,10.0
30700,Линдфорс,171618,1.7
47228,Лепим и варим,188172,10.0
41786,Ланч-кафе Гаражъ,157889,10.0
45379,Лакомка,188634,5.3
35528,Мой чай,103208,10.0
35528,Мой чай,103209,9.7
35528,Мой чай,92496,8.7
40769,Mindike Coffee,108213,9.7
35552,Mix точка,102499,10.0
39571,Maximus,181619,9.0
43869,Mac & Cheese,194346,6.3
43869,Mac & Cheese,170416,6.3
32976,ОМ/Чайная студия,89814,9.0
32744,Наш хлеб,90697,9.0
45348,На углях,196093,10.0
45348,На углях,187942,10.0
38997,Мульто,149628,10.0
40198,Пивной пилигрим,110397,10.0
40198,Пивной пилигрим,105057,10.0
40198,Пивной пилигрим,103720,10.0
40330,Пивная библиотека,121840,1.0
38421,Pivbar,105714,10.0
42255,Первый нос,162261,8.7
39534,Старый дворик,145255,2.3
33811,Star Hit на Шаболовской,172157,1.0
38807,Станция Савеловская,134551,10.0
44034,Soul In The Bowl,190430,8.0
38268,Ребро Адама,99881,5.3
39842,Пшеница,158694,8.3
44210,Pho & Go,157802,10.0
38279,Профессор Пуф,92724,10.0
34832,Прана,137113,9.0
38019,Порто Миконос,105407,9.3
40756,Port Blair Shisha & Lounge,111195,9.3
41994,Пончики,138283,6.0
35856,Сандал,169458,3.0
45635,Роза ветров,173858,10.0
43216,Франсуа,147531,9.0
44336,Flora No Fauna,163109,10.0
43226,Floo,145538,8.3
39482,Шале,144767,9.3
30583,Чито-Ра,201878,10.0
30583,Чито-Ра,85910,9.7
39008,Человек и пароход,199407,10.0
33328,Чае,92536,8.3
44798,Hookah Burger,165500,10.0
41483,Хинкальная,122593,3.7
46627,Ikigai,193688,10.0
46627,Ikigai,191042,10.0
46627,Ikigai,188412,8.7
44166,Atelier de Tartelettes,170416,8.7
37291,Domino's Pizza,141831,10.0
38714,Bò,149992,10.0
35635,Burger Club,110965,8.7
42037,Палермо,122410,8.5
42037,Палермо,122409,8.0
42037,Палермо,122408,9.5
42037,Палермо,122407,9.0
42037,Палермо,121984,9.0
31421,Obed Bufet,170513,8.3
31421,Obed Bufet,164245,9.0
31421,Obed Bufet,153015,9.3
31421,Obed Bufet,149046,4.7
31421,Obed Bufet,148582,10.0
31421,Obed Bufet,124426,9.7
31421,Obed Bufet,122469,9.0
31421,Obed Bufet,108805,7.3
31421,Obed Bufet,104782,10.0
31421,Obed Bufet,91619,9.0
31421,Obed Bufet,86770,7.0
31421,Obed Bufet,86694,9.3
31421,Obed Bufet,86617,8.0
31122,Meating,99094,8.7
31122,Meating,97192,9.0
35061,Сущевский двор,154670,10.0
35061,Сущевский двор,154668,10.0
40727,Поварская лавка,155528,10.0
40727,Поварская лавка,111927,10.0
40727,Поварская лавка,154762,10.0
40727,Поварская лавка,136395,10.0
40727,Поварская лавка,153818,10.0
40727,Поварская лавка,153072,10.0
40727,Поварская лавка,150069,10.0
40727,Поварская лавка,149691,10.0
40727,Поварская лавка,135611,10.0
40727,Поварская лавка,147171,10.0
40727,Поварская лавка,146444,10.0
40727,Поварская лавка,139024,10.0
40727,Поварская лавка,136224,10.0
40727,Поварская лавка,138439,10.0
40727,Поварская лавка,137950,10.0
40727,Поварская лавка,137499,10.0
40727,Поварская лавка,119483,10.0
40727,Поварская лавка,119430,10.0
40727,Поварская лавка,119013,10.0
40727,Поварская лавка,118545,10.0
40727,Поварская лавка,118383,10.0
40727,Поварская лавка,118088,10.0
42572,ABC Coffee Roasters,195277,10.0
42572,ABC Coffee Roasters,150692,9.0
42572,ABC Coffee Roasters,135544,8.7
42572,ABC Coffee Roasters,122088,8.3
33916,Coffeeshop Company,178231,10.0
33916,Coffeeshop Company,158942,9.7
33916,Coffeeshop Company,158892,9.7
33195,Му-му,169860,10.0
33195,Му-му,167184,10.0
33195,Му-му,163077,10.0
33351,Варка,140516,8.7
33351,Варка,141543,9.0
33351,Варка,86748,9.3
42263,Boroda,158079,10.0
42263,Boroda,110384,10.0
42263,Boroda,171113,2.0
42263,Boroda,159552,10.0
42263,Boroda,110460,10.0
42263,Boroda,137994,10.0
42263,Boroda,154456,10.0
42263,Boroda,158697,10.0
42263,Boroda,79842,10.0
42263,Boroda,141784,10.0
42263,Boroda,142646,10.0
42263,Boroda,152688,4.3
42263,Boroda,151893,9.3
42263,Boroda,142646,10.0
42263,Boroda,141784,10.0
42263,Boroda,142243,9.3
42263,Boroda,79842,10.0
44669,Точка доступа,193393,1.0
44669,Точка доступа,190529,10.0
44669,Точка доступа,187447,9.7
44669,Точка доступа,183277,10.0
44669,Точка доступа,177884,9.3
44669,Точка доступа,175261,10.0
44669,Точка доступа,172417,9.3
44669,Точка доступа,169585,10.0
44669,Точка доступа,169581,10.0
44669,Точка доступа,169492,10.0
44669,Точка доступа,169250,10.0
44669,Точка доступа,169190,10.0
44669,Точка доступа,169087,10.0
44669,Точка доступа,168906,10.0
44669,Точка доступа,168787,10.0
44669,Точка доступа,168719,9.7
44669,Точка доступа,168352,10.0
44669,Точка доступа,168338,10.0
44669,Точка доступа,168022,10.0
44669,Точка доступа,167990,10.0
44669,Точка доступа,167802,10.0
44669,Точка доступа,167563,10.0
44669,Точка доступа,166218,9.7
44669,Точка доступа,165653,9.0
44669,Точка доступа,165293,9.3
44669,Точка доступа,164770,9.3
44669,Точка доступа,164620,9.7
44669,Точка доступа,164581,10.0
44669,Точка доступа,164554,9.7
44669,Точка доступа,164271,10.0
44669,Точка доступа,164132,9.7
44669,Точка доступа,163246,10.0
46068,Империя пиццы и суши,193211,10.0
46068,Империя пиццы и суши,180989,9.0
46068,Империя пиццы и суши,179772,10.0
46068,Империя пиццы и суши,179706,10.0
46068,Империя пиццы и суши,178741,10.0
46068,Империя пиццы и суши,177704,9.7
46068,Империя пиццы и суши,174837,8.7
42881,Журавли,138677,5.3
42881,Журавли,188899,9.3
42881,Журавли,184100,10.0
42881,Журавли,177913,10.0
42881,Журавли,176783,10.0
42881,Журавли,162721,10.0
42881,Журавли,150404,9.3
44209,Токио Рамен,170607,10.0
44209,Токио Рамен,161269,10.0
38876,Lights Cafe,190042,10.0
38876,Lights Cafe,175324,9.0
38876,Lights Cafe,160260,6.7
38876,Lights Cafe,155292,10.0
38876,Lights Cafe,152474,10.0
38876,Lights Cafe,149783,10.0
38876,Lights Cafe,149227,10.0
38876,Lights Cafe,146254,8.7
30960,Starbucks,189647,9.7
30960,Starbucks,172058,8.0
30960,Starbucks,150025,6.7
30960,Starbucks,122355,8.0
30960,Starbucks,121158,7.7
30960,Starbucks,122287,8.3
30960,Starbucks,122352,8.0
30960,Starbucks,119835,8.0
37862,Parka,136274,9.3
37862,Parka,141543,9.0
33360,Хлеб и вино,196822,10.0
33360,Хлеб и вино,194497,10.0
33360,Хлеб и вино,195686,10.0
33360,Хлеб и вино,185425,10.0
33360,Хлеб и вино,190312,9.0
33360,Хлеб и вино,185425,9.7
33360,Хлеб и вино,184949,8.7
33360,Хлеб и вино,184751,9.0
33360,Хлеб и вино,184489,9.3
33360,Хлеб и вино,183609,10.0
33360,Хлеб и вино,183500,10.0
45286,11/1,174780,10.0
45286,11/1,174597,10.0
46430,Крепкое & Хмельное,179099,9.0
46430,Крепкое & Хмельное,175469,10.0
46430,Крепкое & Хмельное,178667,10.0
46430,Крепкое & Хмельное,178432,10.0
46430,Крепкое & Хмельное,177657,10.0
46430,Крепкое & Хмельное,177848,10.0
46430,Крепкое & Хмельное,177750,10.0
