id,title,reviews
46180,От и до,"[['174987', '10']]"
39306,Cha Cha,"[['183345', '4.0'], ['100769', '8.7'], ['92124', '10'], ['91598', '9.7']]"
38869,Кадриль,"[['154758', '9.7']]"
32149,Мимино,"[['119579', '7.7'], ['119521', '8.7'], ['119577', '7.7'], ['100846', '9.0'], ['92496', '8.3']]"
35490,Эдоко,"[['89445', '9.3']]"
46708,1901 Comfort Food Zone,"[['192527', '5.0'], ['191657', '2.7'], ['182102', '10']]"
31301,Бейрут,"[['196494', '9.7'], ['141783', '5.0'], ['89819', '8.0']]"
43015,Алмаз,"[['152779', '7.7'], ['151715', '7.0'], ['150564', '7.3'], ['150119', '7.0'], ['148777', '8.0'], ['148011', '8.3'], ['147568', '8.0'], ['147227', '8.7']]"
44404,Винограф,"[['178637', '3.0'], ['169666', '10'], ['160586', '10'], ['160585', '10'], ['160547', '10'], ['160523', '10'], ['160519', '10'], ['160517', '10'], ['160510', '9.3'], ['160488', '10']]"
37873,Свадьба соек,"[['176603', '9.3'], ['120143', '6.7']]"
40997,Ketch Up,"[['192531', '4.0'], ['169142', '3.7'], ['157254', '3.0'], ['133750', '10']]"
42433,Концерт,"[['145557', '10'], ['142079', '1.7']]"
42101,Muskat,"[['146511', '8.0'], ['146643', '8.3']]"
43085,Сыто Piano,"[['190244', '1.3'], ['187466', '3.3'], ['177980', '5.3'], ['177980', '6.0']]"
31033,Сытый лось,"[['163148', '1.0'], ['143742', '6.0'], ['87312', '9.7']]"
34056,Пронто на Водном стадионе,"[['150025', '6.0'], ['138503', '9.7']]"
39486,Папа Вейдер,"[['184619', '8.7'], ['183802', '8.0'], ['181485', '1.0'], ['122667', '2.7']]"
31532,Fornetto,"[['175049', '1.0'], ['90923', '9.7']]"
32985,У Джона,"[['107389', '1.0'], ['90692', '9.0']]"
42127,Пицца 22 см,"[['160367', '1.0'], ['151317', '10']]"
46790,Gentle Cafe,"[['188914', '7.7'], ['188574', '2.0']]"
31758,То да сё,"[['182262', '9.0'], ['170696', '1.0'], ['150025', '6.0']]"
40064,Хмельбург,"[['136174', '3.0'], ['124291', '10']]"
41719,UDC,"[['150025', '6.7'], ['142539', '4.5']]"
33623,Комета,"[['168042', '3.7'], ['147748', '9.7']]"
43234,The Dubliner Pub,"[['191716', '6.7'], ['187127', '9.0']]"
40298,The Left Bank Pub,"[['194231', '9.0'], ['190231', '2.3'], ['105989', '5.5']]"
38716,Mukuzani,"[['174588', '10'], ['135874', '1.5'], ['116564', '8.3'], ['99818', '4.7']]"
32696,Бургон/Йоши,"[['167727', '2.3'], ['133398', '10'], ['114874', '10']]"
41090,Hidden Bar,"[['170205', '5.0'], ['117960', '8.0'], ['118452', '7.7'], ['119125', '8.7'], ['118464', '8.0'], ['119468', '7.7']]"
38842,Semenov,"[['201885', '10'], ['150692', '8.7'], ['163074', '9.0'], ['151275', '2.7'], ['150070', '10'], ['139632', '9.7'], ['138283', '7.7'], ['137948', '9.3']]"
37676,Рыбы нет,"[['183622', '5.3'], ['169142', '7.0'], ['149349', '5.7'], ['143222', '1.3'], ['101770', '7.7'], ['101792', '9.0'], ['102492', '8.7'], ['101759', '8.3'], ['87315', '10']]"
31312,Почтмейстер,"[['1840', '8.0']]"
41206,Очаг,"[['201461', '10'], ['201450', '10'], ['110423', '6.7'], ['136144', '8.7'], ['140371', '7.7'], ['139787', '8.3'], ['140938', '9.3']]"
