id,title,reviews
32101,Подмосковные вечера,"[['89282', '9.3']]"
44206,Rest,"[['165133', '9.0']]"
37907,Jai Hind,"[['87312', '8.0']]"
33051,Janus,"[['90263', '10']]"
39870,Дом у озера,"[['200016', '10'], ['199537', '10']]"
43115,Grand Karaoke,"[['137225', '9.7']]"
32380,Антре-холл,"[['89505', '7.7']]"
30841,Капучинофф,"[['141504', '7.7']]"
31168,Хинкальная №1,"[['90696', '9.3']]"
32220,Хинкалофф,"[['159532', '10']]"
32826,Кинза,"[['174682', '10']]"
35092,Квартира 44,"[['88056', '8.0']]"
31245,Иван Дурдин,"[['92530', '9.7']]"
46859,Iki Bar Kitchen,"[['189378', '10']]"
42504,Золотая лошадь,"[['121337', '9.7']]"
33067,Загородный,"[['100062', '8.7']]"
35850,Il canto,"[['113066', '8.3']]"
32947,Зал торжеств в усадьбе «Кузьминки»,"[['89188', '10']]"
35427,За пивом,"[['100888', '8.0']]"
37321,Bellis Bar,"[['151792', '10']]"
32494,Золотая вобла,"[['100967', '7.0']]"
31622,Золотая Бухара,"[['144243', '3.7']]"
33242,Европа,"[['92509', '9.7']]"
31169,Eat & Talk,"[['94038', '8.0']]"
35231,Forte bello,"[['86945', '7.3']]"
32851,Трамвай «Аннушка»,"[['92241', '8.0']]"
35184,Фаэтон,"[['92620', '8.3']]"
47687,Septa,"[['200982', '4.3']]"
38846,Мореман,"[['137792', '10']]"
35746,Сольфасоль,"[['101906', '10'], ['99379', '10']]"
45277,Sofia Cafe & Wine bar,"[['173898', '10']]"
30847,MOS,"[['85735', '10'], ['89831', '10']]"
35097,Marani,"[['88440', '8.3']]"
32732,Lobby Lounge Bar,"[['90695', '9.0']]"
31651,Балчуг гриль,"[['88296', '9.0']]"
32598,Саят-Нова,"[['103662', '10']]"
45477,Cutlet,"[['179233', '6.3']]"
30828,China Club,"[['88296', '10'], ['85794', '8.3']]"
40003,SomeMeat,"[['189102', '10']]"
30610,Spettacolo,"[['98625', '9.7'], ['89750', '10'], ['88083', '10']]"
31485,Food Embassy,"[['84179', '8.3']]"
31172,Easy Brix Grill & Wine,"[['201507', '10'], ['89269', '10']]"
32778,Золотое время,"[['89187', '8.7']]"
30533,BBcafé,"[['85711', '8.3']]"
36210,Харбин,"[['174162', '1.0']]"
37149,Beer Head Bar,"[['88627', '8.7']]"
43459,Китайский самовар,"[['153763', '10']]"
39102,Illskill Hookah,"[['115198', '10']]"
44804,Iliadis,"[['138677', '9.0']]"
32261,Кампус,"[['170013', '10']]"
34593,Хмельбург,"[['102441', '9.3']]"
43297,San Pol,"[['158238', '10'], ['158237', '10'], ['158236', '10'], ['158235', '9.7'], ['158183', '10']]"
36082,Свой круг,"[['143433', '10']]"
36684,Simachyard,"[['88361', '9.3']]"
34140,Синдбад,"[['153563', '9.3']]"
31290,Синяя река,"[['90334', '8.0']]"
37612,Райский уголок,"[['160705', '10']]"
35539,Sabor De La Vida,"[['85407', '10']]"
43679,Riverside,"[['1838', '5.0']]"
31625,Старина Мюллер на Улице 1905 года,"[['122190', '1.0']]"
42790,The Rooms,"[['148059', '10']]"
