  url,id,photo,title,rating_number,rating_text,reviews_count,avg_text,type,cuisines,tags
https://www.restoclub.ru/msk/place/regent-by-rico,42422,https://cdn.images.restoclub.ru/uploads/place_thumbnail_big/7/c/c/b/7ccb6e3f4bedd08ef5ad27a26d7ba8a0.jpg,Regent by Rico,0.0,Мало отзывов,1,4000,Ресторан,"европейская,стейки,рыба и морепродукты",при отеле
https://www.restoclub.ru/msk/place/orion-hall,39626,https://cdn.images.restoclub.ru/uploads/place_thumbnail_big/0/0/7/7/0077d29afcf6679c4ec8fca6dc679b9d.jpg,Orion Hall,0.0,Мало отзывов,3,7500,Банкетный зал,"европейская,авторская",парковка
https://www.restoclub.ru/msk/place/butler,39893,https://cdn.images.restoclub.ru/uploads/place/4/2/e/2/42e22e1ae982ca3bec6fa9b5b17425fe_w958_h835--big.jpg,Butler,8.0,Отлично,8,4000,Ресторан,"итальянская,средиземноморская,авторская,европейская","новогодний корпоратив,бранч,детское меню,живая музыка,шоу-программа"
https://www.restoclub.ru/msk/place/mjata-lounge-lapino,47951,https://cdn.images.restoclub.ru/uploads/place_thumbnail_big/c/9/5/7/c9574dc04afbe9872164b28cd9d43d68.jpg,Мята Lounge Лапино,0.0,Мало отзывов,1,4700,Кальянная,европейская,"за городом,живая музыка,бизнес-ланч,dj,кальян"
https://www.restoclub.ru/msk/place/piazza-italiana-1,44907,https://cdn.images.restoclub.ru/uploads/place_thumbnail_big/d/b/f/1/dbf1a5de01fa1240383cf8e54929bfbf.jpg,Piazza Italiana,0.0,Мало отзывов,Добавить,5000,Ресторан,"европейская,итальянская","заказ кейтеринга,ресторан у воды"
https://www.restoclub.ru/msk/place/balzi-rossi,35666,https://cdn.images.restoclub.ru/uploads/place/3/d/8/3/3d83417c9ebb6d4f5e756ad4c94f7ef1_w958_h835--big.jpg,Balzi Rossi,9.1,Идеально,10,3000,Ресторан,"европейская,средиземноморская,итальянская,рыба и морепродукты,устрицы","новогодний корпоратив,еда навынос,день святого валентина,бранч,панорамный вид"
https://www.restoclub.ru/msk/place/moremjaso,41157,https://cdn.images.restoclub.ru/uploads/place_thumbnail_big/f/6/8/e/f68ef0d80deb9d9e650ae30822176b28.jpg,Моремясо,0.0,Мало отзывов,Добавить,3000,Ресторан,"европейская,средиземноморская,рыба и морепродукты,стейки","детское меню,живая музыка,dj,кальян,завтрак"
https://www.restoclub.ru/msk/place/nuar,45202,https://cdn.images.restoclub.ru/uploads/place_thumbnail_big/8/1/d/5/81d508ade88886371b024da0ac2bd6a9.jpg,Nuar,0.0,Мало отзывов,Добавить,3600,Клуб,"европейская,итальянская,суши,рыба и морепродукты,стейки","караоке,шоу-программа,dj,стриптиз,кальян"
https://www.restoclub.ru/msk/place/kosmos-3,46405,https://cdn.images.restoclub.ru/uploads/place_thumbnail_big/5/8/9/d/589d7aaa8dbe5a304b6bba4a86ec5e7e.jpg,Космос,0.0,Мало отзывов,Добавить,4000,Лофт,"европейская,смешанная",парковка
https://www.restoclub.ru/msk/place/elizaveta,43540,https://cdn.images.restoclub.ru/uploads/place_thumbnail_big/a/d/3/5/ad35b530095de80b5e143be67568112a.jpg,Елизавета,0.0,Мало отзывов,Добавить,3500,Банкетный зал,"европейская,кавказская",за городом
https://www.restoclub.ru/msk/place/dolce-loft,41302,https://cdn.images.restoclub.ru/uploads/place_thumbnail_big/7/2/9/5/7295e79eb169235a71dac3fa12b752a1.jpg,Dolce Loft,0.0,Мало отзывов,1,3500,Банкетный зал,смешанная,парковка
https://www.restoclub.ru/msk/place/divas,48608,https://cdn.images.restoclub.ru/uploads/place/e/f/3/7/ef37c67ed80277f378fda7da0f5027c9_w958_h835--big.jpg,Divas,0.0,Мало отзывов,Добавить,3600,Клуб,"европейская,азиатская,японская,коктейли,итальянская","караоке,живая музыка,dj"
